id,banco,tarjeta,restaurante,descuento_valor,descuento_tipo,descuento_texto,dias_validos,horario_inicio,horario_fin,valido_desde,valido_hasta,ubicacion,ciudad,locales,compra_minima,tope_descuento,restricciones_texto,online,presencial,fecha_scrape,url_fuente,imagen_url,logo_url,direccion,activo,tags,descripcion
banchile_262050e5-d4e2-46f5-bb16-7b1d908944f5,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",Holy Burger and Bar,20,porcentaje,20%; dto.,['martes'],,,30 de junio de 2026,30 de junio de 2026,la araucanía,,['Región de la Araucanía'],0,0,Promoción válida hasta el 30 de junio de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva responsabilidad del ,False,True,2026-03-13T16:40:17.878162,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/holy-burger-and-bar,https://assets.bancochile.cl/uploads/000/042/787/f8b88144-aafb-4ba1-bbcc-fd3c6337f9b1/original/banner-web-Holy-Burger-and-Bar.jpg,https://assets.bancochile.cl/uploads/000/042/786/2dc19555-96d1-4efc-90d0-33ee60669927/original/logo-web-Holy-Burger-and-Bar.jpg,Av. Inés de Suarez #1250,True,"['descuentos-regiones', 'martes', 'la araucanía', 'temuco']",
banchile_129ad49a-12d3-43eb-9aad-35b1d9bda0db,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",Sushinikkei17,20,porcentaje,20%; dto.,['martes'],,,30 de abril de 2026,30 de abril de 2026,metropolitana de santiago,,['Región Metropolitana'],0,0,Promoción válida hasta el 30 de abril de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile y Banco Edwards y que soliciten el descuento al momento de pagar en compra presencial. No acumulable con otras promociones. Descuento es de exclusiva responsabilidad del comerci,False,False,2026-03-13T16:40:17.878281,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/sushinikkei17,https://assets.bancochile.cl/uploads/000/078/757/370ccb1a-9b07-4410-92a7-636470ca1063/original/banner-web-Sushinikkei17.jpg,https://assets.bancochile.cl/uploads/000/078/758/265ebb9b-d712-4486-9f82-e12ca243c728/original/logo-web-Sushinikkei17.jpg,Los Piñones 011,True,"['metropolitana de santiago', 'providencia', 'martes', 'segmentado']",
banchile_1e04165a-41f5-421c-bf5b-09f944a9fae4,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",Puerto Caliche,20,porcentaje,20%; dto.,['miercoles'],,,31 de mayo de 2026,31 de mayo de 2026,antofagasta,,['Región de Antofagasta'],0,0,Promoción válida hasta el 31 de mayo de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva  responsabilidad del ,False,False,2026-03-13T16:40:17.878334,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/puerto-caliche-dto,https://assets.bancochile.cl/uploads/000/074/410/cd223ea2-4465-4d28-bd52-728c9dc08d3e/original/banner-web-PUERTO-CALICHE-v2.jpg,https://assets.bancochile.cl/uploads/000/073/866/b9055b04-5ef9-4ef3-8d2f-f879fab8fc18/original/logo-web-puerto-caliche.jpg,Av. República de Croacia #809,True,"['miercoles', 'antofagasta', 'segmentado']",
banchile_288720db-5fe9-4b6a-aa60-020bea453209,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",Nuna Restaurante,15,porcentaje,15%; dto.,"['viernes', 'domingo', 'sabado', 'lunes', 'martes', 'jueves', 'miercoles']",,,30 de abril de 2026,30 de abril de 2026,metropolitana de santiago,,['Región Metropolitana'],0,0,Promoción válida hasta el 30 de abril de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva  responsabilidad del,False,True,2026-03-13T16:40:17.878376,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/nuna-restaurante,https://assets.bancochile.cl/uploads/000/073/612/3c1f3d7a-964f-44a1-85d0-7ac24eca80f8/original/banner-web-Nuna-Restaurante.jpg,https://assets.bancochile.cl/uploads/000/073/611/e95936fc-4355-4d2f-839b-0108e508ece9/original/logo-web-Nuna-Restaurante.jpg,Alonso de Cordova #5199,True,"['metropolitana de santiago', 'viernes', 'domingo', 'sabado', 'lunes', 'martes', 'jueves', 'miercoles', 'las condes', 'segmentado']",
banchile_768429d5-8840-4e2b-8231-d5dd7dcded1c,Banco de Chile,"mastercard-credito-dorada, mastercard-credito-platinum, mastercard-credito-black",Fagotto,20,porcentaje,20%; dto.,"['lunes', 'martes']",,,31 de mayo de 2026,31 de mayo de 2026,metropolitana de santiago,,"['local 6', 'Región Metropolitana', 'Región Metropolitana', 'Región Metropolitana', 'Región Metropolitana', 'Región Metropolitana', 'Región Metropolitana', 'Región Metropolitana', 'Región Metropolitana', 'Patio de Comidas Piso 2', 'Región Metropolitana', 'Región Metropolitana']",0,0,Promoción válida hasta el 31 de mayo de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva  responsabilidad del ,False,False,2026-03-13T16:40:17.878651,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/fagotto,https://assets.bancochile.cl/uploads/000/076/791/327af68d-58dd-40ba-a063-6352a085cbfb/original/banner-web-Fagotto.jpg,https://assets.bancochile.cl/uploads/000/074/587/a1fcc07b-ce1a-44af-84e4-1e9d39f11408/original/logo-web-Fagotto.jpg,Agustinas 883,True,"['metropolitana de santiago', 'providencia', 'lunes', 'martes', 'las condes', 'santiago', 'puente alto', 'estación central', 'segmentado']",
banchile_8a3d7f3b-4a92-485c-a1f3-4a91b83e84dc,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",Patio Echeñique,20,porcentaje,20%; dto.,"['viernes', 'lunes', 'martes', 'jueves', 'miercoles']",,,31 de julio de 2026,31 de julio de 2026,metropolitana de santiago,,['Región Metropolitana'],0,0,Promoción válida hasta el 31 de julio de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva  responsabilidad del,False,False,2026-03-13T16:40:17.878748,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/patio-echenique,https://assets.bancochile.cl/uploads/000/077/115/8ce6e380-43f7-47f9-aa5c-71062bcd7acc/original/banner-web-Patio-Echen_ique.jpg,https://assets.bancochile.cl/uploads/000/077/114/a24f46f9-c732-459d-9f47-44043b7229d8/original/logo-web-Patio-Echen_ique.jpg,Av. Echeñique #6315,True,"['metropolitana de santiago', 'viernes', 'lunes', 'martes', 'jueves', 'miercoles', 'la reina', 'segmentado']",
banchile_a4888648-4cb8-4900-be7e-eaf1fe84cc2f,Banco de Chile,"mastercard-credito-dorada, mastercard-credito-platinum, mastercard-credito-black",Hangar,20,porcentaje,20%; dto.,"['viernes', 'martes', 'jueves', 'miercoles']",,,31 de mayo de 2026,31 de mayo de 2026,coquimbo,,['La Serena'],0,0,Promoción válida hasta el 31 de mayo de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva  responsabilidad del ,False,False,2026-03-13T16:40:17.878804,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/hangar-20dto,https://assets.bancochile.cl/uploads/000/076/372/a6efed2a-1c38-4315-9ccf-a48c112a0bbf/original/banner-web-Hangar.jpg,https://assets.bancochile.cl/uploads/000/076/371/60a9a12d-a9c1-478a-9481-ae5e6244f029/original/logo-web-Hangar.jpg,Hochstetter #397,True,"['viernes', 'martes', 'jueves', 'miercoles', 'la serena', 'coquimbo', 'segmentado']",
banchile_db26c13b-9a75-49cb-b0c6-d6d676fa727e,Banco de Chile,"visa-debito-bch, mastercard-credito-platinum, visa-credito-gold",Restaurante Misti,20,porcentaje,20%; dto.,"['lunes', 'martes', 'jueves', 'miercoles']",,,30 de junio de 2026,30 de junio de 2026,tarapacá,,['Región de Tarapacá'],0,0,Promoción válida hasta el 30 de junio de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva  responsabilidad del,False,False,2026-03-13T16:40:17.878851,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/restaurante-misti,https://assets.bancochile.cl/uploads/000/076/231/fa8f8469-a5a2-4c75-80db-df90ebab021f/original/banner-web-Misti.jpg,https://assets.bancochile.cl/uploads/000/076/230/caea41ca-bbbd-4317-b2cf-70049f0d82e2/original/logo-web-Misti.jpg,Alcalde Godoy #220,True,"['lunes', 'martes', 'jueves', 'miercoles', 'iquique', 'tarapacá', 'segmentado']",
banchile_e886f2ce-d744-4508-8255-33479613a46d,Banco de Chile,"mastercard-credito-dorada, mastercard-credito-platinum, mastercard-credito-black",Restaurante Isabella,20,porcentaje,20%; dto.,"['martes', 'jueves', 'miercoles']",,,30 de abril de 2026,30 de abril de 2026,metropolitana de santiago,,['Región Metropolitana'],0,0,Promoción válida hasta el 30 de abril de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva  responsabilidad del,False,False,2026-03-13T16:40:17.878887,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/restaurante-isabella,https://assets.bancochile.cl/uploads/000/074/544/fcac8416-034c-4991-b424-fbef4ccabbf8/original/banner-web-Restaurante-Isabella.jpg,https://assets.bancochile.cl/uploads/000/074/543/c581e8a4-ecf1-4ddb-9d70-2f364ebfb38e/original/logo-web-Restaurante-Isabella.jpg,Alcaldesa Balbina Vera #3526,True,"['metropolitana de santiago', 'ñuñoa', 'martes', 'jueves', 'miercoles', 'segmentado']",
banchile_0c80c417-4c13-4ff1-a2b6-9f2eeac47b24,Banco de Chile,"mastercard-credito-dorada, mastercard-credito-platinum, mastercard-credito-black",Los Cangrejos Playa Amarilla,20,porcentaje,20%; dto.,"['martes', 'jueves']",,,30 de septiembre de 2026,30 de septiembre de 2026,valparaíso,,['Región de Valparaíso'],0,0,Promoción válida hasta el 30 de septiembre de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva  responsabilida,False,False,2026-03-13T16:40:17.878990,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/los-cangrejos-playa-amarilla,https://assets.bancochile.cl/uploads/000/076/669/321671dc-9875-4fbb-9bf9-7b05a36a98ca/original/banner-web-Los-Cangrejos-Playa-Amarilla.jpg,https://assets.bancochile.cl/uploads/000/076/223/77326fc8-69b9-437c-8d9d-370768546c22/original/logo-web-Los-Cangrejos.jpg,Avenida Borgoño #29941,True,"['valparaíso', 'concón', 'martes', 'jueves', 'segmentado']",
banchile_71ffea3c-8c05-42bd-a876-b67411e77cfe,Banco de Chile,"mastercard-credito-dorada, mastercard-credito-platinum, mastercard-credito-black",VistAndes,20,porcentaje,20%; dto.,"['viernes', 'domingo', 'sabado', 'lunes', 'martes', 'jueves', 'miercoles']",,,16 de abril de 2026,16 de abril de 2026,metropolitana de santiago,,['Región Metropolitana'],0,0,Promoción válida hasta el 16 de abril de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva  responsabilidad del,False,False,2026-03-13T16:40:17.879149,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/vistandes-dto,https://assets.bancochile.cl/uploads/000/059/686/6fbec110-d1e9-44ee-9463-965f1bc64863/original/banner-web-Novohotel.jpg,https://assets.bancochile.cl/uploads/000/059/619/76618ab1-f854-4e9f-a5fd-687606b7abae/original/logo-web-VistAndes.jpg,Suecia #172,True,"['metropolitana de santiago', 'providencia', 'viernes', 'domingo', 'sabado', 'lunes', 'martes', 'jueves', 'miercoles', 'segmentado']",
banchile_649e9232-6605-4d0c-a41d-7ab456d5a927,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",NOLIA,20,porcentaje,20%; dto.,['martes'],,,30 de abril de 2026,30 de abril de 2026,metropolitana de santiago,,['Región Metropolitana'],0,0,Promoción válida hasta el 30 de abril de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva  responsabilidad del,False,True,2026-03-13T16:40:17.879198,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/nolia-dto,https://assets.bancochile.cl/uploads/000/059/822/1cf2ca95-89ad-41b8-8aa2-426555dccbea/original/banner-web-NOLIA.jpg,https://assets.bancochile.cl/uploads/000/059/821/a2e3e242-89cc-4d53-ba14-7fe756af586d/original/logo-web-NOLIA.jpg,Nilo Azul #1737,True,"['metropolitana de santiago', 'vitacura', 'martes', 'segmentado']",
banchile_7d837717-172c-42d2-a64d-fe2b13900ffd,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",La Isla Restobar Iquique,20,porcentaje,20%; dto.,"['lunes', 'martes', 'miercoles']",,,31 de marzo de 2026,31 de marzo de 2026,tarapacá,,['Región de Tarapacá'],0,0,Promoción válida hasta el 31 de marzo de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva  responsabilidad del,False,True,2026-03-13T16:40:17.879241,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/la-isla-restobar-iquique,https://assets.bancochile.cl/uploads/000/058/363/b61b2530-9f31-4808-8ab1-ce18241e5c93/original/banner-web-La-Isla-Restobar-Iquique.jpg,https://assets.bancochile.cl/uploads/000/058/362/1349bad1-2c02-4ace-942c-a0ff0f7cb112/original/logo-web-La-Isla-Restobar-Iquique.jpg,Avenida Playa Brava #3326,True,"['lunes', 'martes', 'miercoles', 'iquique', 'tarapacá', 'segmentado']",
banchile_cba72550-d6b8-4437-b495-be8ab7858522,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",Hidden Bar,20,porcentaje,20%; dto.,['martes'],,,31 de mayo de 2026,31 de mayo de 2026,metropolitana de santiago,,['Región Metropolitana'],0,0,Promoción válida hasta el 31 de mayo de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile y Banco Edwards y que soliciten el descuento al momento de pagar en compra presencial. No acumulable con otras promociones. Descuento es de exclusiva responsabilidad del comercio,False,False,2026-03-13T16:40:17.880113,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/hidden-bar-dto,https://assets.bancochile.cl/uploads/000/083/026/91f8b1b4-8903-446d-8b37-cbc7a5fbdfbc/original/banner-web-Hidden-Bar.jpg,https://assets.bancochile.cl/uploads/000/083/025/4fa81757-74cc-4c4b-9929-92a6d04ada0a/original/logo-web-Hidden-Bar.jpg,Baron Pierre de Coubertin #62,True,"['metropolitana de santiago', 'martes', 'santiago', 'segmentado']",
banchile_25498a1c-9d74-40a8-bdfb-08b05afa3b72,Banco de Chile,"mastercard-credito-dorada, mastercard-credito-platinum, mastercard-credito-black",Club Gordos – Orrego Luco,20,porcentaje,20%; dto.,['martes'],,,31 de agosto de 2026,31 de agosto de 2026,metropolitana de santiago,,['Región Metropolitana'],0,0,Promoción válida hasta el 31 de agosto de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva  responsabilidad de,False,False,2026-03-13T16:40:17.880192,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/club-gordos,https://assets.bancochile.cl/uploads/000/075/514/d901d505-8ff2-47d6-ab52-3c4167195d41/original/banner-web-Club-de-Gordos.jpg,https://assets.bancochile.cl/uploads/000/075/513/b073e663-9362-448e-a1f5-fe8f025d3f56/original/logo-web-Club-de-Gordos.jpg,Orrego Luco #40,True,"['metropolitana de santiago', 'providencia', 'martes', 'segmentado']",
banchile_ac728630-16a1-439a-9b89-c7ef8971f58e,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",Carpe Diem,20,porcentaje,20%; dto.,['sabado'],,,31 de agosto de 2026,31 de agosto de 2026,los lagos,,['Región de los Lagos'],0,0,Promoción válida hasta el 31 de agosto de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile y Banco Edwards y que soliciten el descuento al momento de pagar en compra presencial. No acumulable con otras promociones. Descuento es de exclusiva responsabilidad del comerc,False,False,2026-03-13T16:40:17.880227,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/carpe-diem-dto,https://assets.bancochile.cl/uploads/000/083/013/fae4a02c-5616-4c71-8eb9-8d20539c2037/original/banner-web-Carpe-Diem.jpg,https://assets.bancochile.cl/uploads/000/083/014/a1b55dd3-2d09-4f67-86c9-322e6b13119c/original/logo-web-Carpe-Diem.jpg,Cochrane #1136,True,"['sabado', 'los lagos', 'osorno', 'segmentado']",
banchile_84bc4380-bf72-415b-a2d7-4c3b8214cb33,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",AUTENTIKO FRENCH TAKOS,20,porcentaje,20%; dto.,"['lunes', 'martes', 'miercoles']",,,30 de junio de 2026,30 de junio de 2026,descuentos-santiago,,['Región Metropolitana'],0,0,Promoción válida hasta el 30 de junio de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva responsabilidad del ,False,True,2026-03-13T16:40:17.880256,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/autentiko-french-takos,https://assets.bancochile.cl/uploads/000/042/736/856e8158-d1fa-4fe9-99a2-1c79c06870b3/original/banner-web-AUTENTIKO-FRENCH-TAKOS.jpg,https://assets.bancochile.cl/uploads/000/042/735/a1f776f9-fd6d-423e-a930-6dcc0f5681cc/original/logo-web-AUTENTIKO-FRENCH-TAKOS.jpg,Santa Isabel #0296,True,"['descuentos-santiago', 'providencia', 'lunes', 'martes', 'miercoles']",
banchile_91fbf5bb-8352-40ea-a9bc-75c319d2a430,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",Peluquería Francesa,20,porcentaje,20%; dto.,"['viernes', 'sabado', 'lunes', 'martes', 'jueves', 'miercoles']",,,30 de junio de 2026,30 de junio de 2026,descuentos-santiago,,['RM'],0,0,Promoción válida hasta el 30 de junio de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva responsabilidad del ,False,True,2026-03-13T16:40:17.880286,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/peluqueria-francesa,https://assets.bancochile.cl/uploads/000/076/896/26a38359-54a3-486f-8408-a2f7156d6433/original/PELUQUERI_A_FRANCESA.jpg,https://assets.bancochile.cl/uploads/000/026/777/b0fabcbd-f24b-48df-a274-040ddbd40d92/original/logo-we-peluqueria.jpg,Compañía de Jesús 2789,True,"['descuentos-santiago', 'metropolitana de santiago', 'viernes', 'sabado', 'lunes', 'martes', 'jueves', 'miercoles', 'santiago', 'planes']",
banchile_5714202e-0a19-41af-b0fe-663812fe1ff8,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",Tuto Beach,20,porcentaje,20%; dto.,"['viernes', 'domingo', 'sabado', 'lunes', 'martes', 'jueves', 'miercoles']",,,31 de mayo de 2026,31 de mayo de 2026,arica,,['Región de Arica y Parinacota'],0,0,Promoción válida hasta el 31 de mayo de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva responsabilidad del c,False,False,2026-03-13T16:40:17.880314,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/tuto-beach,https://assets.bancochile.cl/uploads/000/076/891/927a23ec-557e-4d49-9776-7123013c5c32/original/TUTO_BEACH.jpg,https://assets.bancochile.cl/uploads/000/042/131/67c6ca3f-b357-438e-9c0f-3284bf524570/original/logo-web-Beach.jpg,AVENIDA COMANDANTE SAN MARTIN #545,True,"['arica', 'viernes', 'domingo', 'sabado', 'lunes', 'martes', 'jueves', 'miercoles', 'planes', 'arica y parinacota', 'segmentado']",
banchile_66e555f8-ad8b-4140-b94d-cc37b2087f7c,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",La Resistencia,20,porcentaje,20%; dto.,"['viernes', 'sabado', 'lunes', 'martes', 'jueves', 'miercoles']",,,30 de junio de 2026,30 de junio de 2026,Región Metropolitana,,['Local 1 Galería Drugstore'],0,0,Promoción válida hasta el 30 de junio de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile y Banco Edwards y que soliciten el descuento al momento de pagar en compra presencial. No acumulable con otras promociones. Descuento es de exclusiva responsabilidad del comerci,False,False,2026-03-13T16:40:17.880350,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/la-resistencia,https://assets.bancochile.cl/uploads/000/042/441/fc5e8ded-dd0e-4eda-9630-dcc6768ca49c/original/banner-web-laresistencia.jpg,https://assets.bancochile.cl/uploads/000/078/780/5be7b03c-7bba-4428-8e97-f82228cab4a8/original/logo-web-resistencia.jpg,Providencia #2124,True,"['viernes', 'sabado', 'lunes', 'martes', 'jueves', 'miercoles']",
banchile_677258f8-12dd-4d08-8084-f841a4833e16,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",Psiquis Bar,20,porcentaje,20%; dto.,"['martes', 'jueves', 'miercoles']",,,30 de junio de 2026,30 de junio de 2026,valparaíso,,['Región Valparaíso'],0,0,Promoción válida hasta el 30 de junio de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva responsabilidad del ,False,True,2026-03-13T16:40:17.880375,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/psiquis-bar,https://assets.bancochile.cl/uploads/000/059/775/e34616b7-356f-49d7-9fcc-934808bd5852/original/banner-PSIQUIS-BAR.jpg,https://assets.bancochile.cl/uploads/000/042/766/ca685664-7eae-4855-9c3b-7417f6162046/original/logo-web-Psiquis-Bar.jpg,5 y 1/2 poniente 277,True,"['valparaíso', 'martes', 'jueves', 'miercoles', 'viña del mar']",
banchile_7981a2f9-04fd-4d8e-b700-007bf58f833d,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",Trattoria Santtino,20,porcentaje,20%; dto.,"['martes', 'jueves']",,,30 de junio de 2026,30 de junio de 2026,descuentos-santiago,,['Av. Del Canal 19811 centro comercial paseo de los valles ciudad de los valles'],0,0,Promoción válida hasta el 30 de junio de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva responsabilidad del ,False,False,2026-03-13T16:40:17.880404,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/trattoria-santtino,https://assets.bancochile.cl/uploads/000/076/892/2f2c777d-13a6-4ee4-a035-659a99f45f71/original/TRATTORIA_SANTTINO.jpg,https://assets.bancochile.cl/uploads/000/027/762/6add6e1c-c789-4b16-9925-3a1f87b0ec06/original/logo-web-santinno.jpg,Local 16,True,"['descuentos-santiago', 'metropolitana de santiago', 'martes', 'jueves', 'planes', 'pudahuel']",
banchile_7cb0e3ce-3de9-4eb3-b7c7-8d6ad148d18e,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",PECES DE CIUDAD,20,porcentaje,20%; dto.,['miercoles'],,,31 de mayo de 2026,31 de mayo de 2026,metropolitana de santiago,,['RM'],0,0,Promoción válida hasta el 31 de mayo de 2026.Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva responsabilidad del co,False,False,2026-03-13T16:40:17.880429,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/peces-de-ciudad,https://assets.bancochile.cl/uploads/000/076/888/22723478-d986-4584-815b-3431ebd9bbea/original/PECES_DE_LA_CIUDAD.jpg,https://assets.bancochile.cl/uploads/000/027/538/aefee452-0cf4-466c-b056-7dd3661abd29/original/logo-web-PECES-DE-CIUDAD.jpg,Avenida Condell 1333,True,"['metropolitana de santiago', 'providencia', 'miercoles', 'planes', 'segmentado']",
banchile_84b3c1b9-b7bc-4a90-8f86-109362102017,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",CEVICHAZO 102,20,porcentaje,20%; dto.,"['viernes', 'lunes']",,,31 de marzo de 2026,31 de marzo de 2026,descuentos-santiago,,['RM'],0,0,Promoción válida hasta el 31 de marzo de 2026. Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva responsabilidad del ,False,True,2026-03-13T16:40:17.880453,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/cevichazo-102,https://assets.bancochile.cl/uploads/000/076/865/8cd5e810-5581-4f84-925f-c5ae36bd4245/original/CEVICHAZO.jpg,https://assets.bancochile.cl/uploads/000/026/769/99b81cac-f35d-4154-b258-2aaf75637e03/original/logo-cevichazo.jpg,Cirujano Guzman 102,True,"['descuentos-santiago', 'metropolitana de santiago', 'providencia', 'viernes', 'lunes', 'planes', 'sabados', 'segmentado']",
banchile_9718d0bb-3fc4-4681-b3d0-5b1d15edae01,Banco de Chile,"visa-cuenta-fan, visa-entel, visa-debito-bch",La Biferia,20,porcentaje,20%; dto.,"['viernes', 'sabado', 'lunes', 'martes', 'jueves', 'miercoles']",,,30 de junio de 2026,30 de junio de 2026,metropolitana de santiago,,['Región Metropolitana'],0,0,Promoción válida hasta el 30 de junio de 2026.  Exclusivo para clientes que paguen con Tarjetas emitidas por Banco de Chile (incluye Banco Edwards) y que soliciten el descuento al momento de pagar en forma presencial. No acumulable con otras promociones. Descuento es de exclusiva responsabilidad del,False,True,2026-03-13T16:40:17.880480,https://sitiospublicos.bancochile.cl/personas/beneficios/detalle/la-biferia,https://assets.bancochile.cl/uploads/000/076/868/e8f850c2-f509-4a8c-a903-e05077fb6907/original/BIFERIA.jpg,https://assets.bancochile.cl/uploads/000/042/813/203082a7-3760-43e2-8469-2634516428c8/original/logo-web-biferia_1_.jpg,Av. Pedro de Valdivia 065,True,"['metropolitana de santiago', 'providencia', 'viernes', 'sabado', 'lunes', 'martes', 'jueves', 'miercoles', 'planes']",
